Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,G_mean_rat,Dir_enc,A1_enc,A2_enc,A3_enc
1969,137,Musical,6.2,12,Bibhuti Mitra,Shiv Kumar,Anjana Mumtaz,Prem Nath,6.183195020746888,6.407692307692307,6.2,6.066666666666666,6.57948717948718
1969,137,Romance,6.2,12,Bibhuti Mitra,Shiv Kumar,Anjana Mumtaz,Prem Nath,5.754529717253318,6.407692307692307,6.2,6.066666666666666,6.57948717948718
2013,105,Drama,6.7,92,Mahesh Kodiyal,Asha Bhosle,Kshitee Jog,Shivani Joshi,5.985004212299915,6.7,6.7,6.7,6.7
2013,105,Family,6.7,92,Mahesh Kodiyal,Asha Bhosle,Kshitee Jog,Shivani Joshi,6.1843800322061195,6.7,6.7,6.7,6.7
1957,144,Comedy,6.8,14,M. Sadiq,Balraj Sahni,Shyama,Raj Mehra,5.728073635765943,6.303703703703703,6.824137931034483,5.935294117647059,6.976923076923077
1957,144,Drama,6.8,14,M. Sadiq,Balraj Sahni,Shyama,Raj Mehra,5.985004212299915,6.303703703703703,6.824137931034483,5.935294117647059,6.976923076923077
1995,155,Action,4.3,530,K.C. Bokadia,Dharmendra,Akshay Kumar,Karisma Kapoor,5.435978600089166,4.223684210526316,5.838245614035088,5.665591397849462,4.4437500000000005
1995,155,Drama,4.3,530,K.C. Bokadia,Dharmendra,Akshay Kumar,Karisma Kapoor,5.985004212299915,4.223684210526316,5.838245614035088,5.665591397849462,4.4437500000000005
2005,162,Drama,4.8,1019,Harry Baweja,Ajay Devgn,Sushmita Sen,Esha Deol,5.985004212299915,4.577419354838709,5.3691489361702125,4.9639999999999995,4.315384615384615
2005,162,Family,4.8,1019,Harry Baweja,Ajay Devgn,Sushmita Sen,Esha Deol,6.1843800322061195,4.577419354838709,5.3691489361702125,4.9639999999999995,4.315384615384615
2005,162,Musical,4.8,1019,Harry Baweja,Ajay Devgn,Sushmita Sen,Esha Deol,6.183195020746888,4.577419354838709,5.3691489361702125,4.9639999999999995,4.315384615384615
2015,119,Action,6.3,1588,Prawaal Raman,Adil Hussain,Alexx O'Nell,Anastasia Fullfina,5.435978600089166,5.507692307692308,6.1466666666666665,6.3,6.3
2015,119,Biography,6.3,1588,Prawaal Raman,Adil Hussain,Alexx O'Nell,Anastasia Fullfina,6.763414634146342,5.507692307692308,6.1466666666666665,6.3,6.3
2015,119,Crime,6.3,1588,Prawaal Raman,Adil Hussain,Alexx O'Nell,Anastasia Fullfina,5.726989935956085,5.507692307692308,6.1466666666666665,6.3,6.3
1981,136,Action,6.6,34,R. Thyagaraajan,Mithun Chakraborty,Poonam Dhillon,Suresh Oberoi,5.435978600089166,5.666666666666667,5.311764705882353,5.682222222222222,5.288235294117648
1981,136,Drama,6.6,34,R. Thyagaraajan,Mithun Chakraborty,Poonam Dhillon,Suresh Oberoi,5.985004212299915,5.666666666666667,5.311764705882353,5.682222222222222,5.288235294117648
2014,130,Comedy,5.2,347,Adeeb Rais,Barun Sobti,Shenaz Treasury,Kavi Shastri,5.728073635765943,5.2,6.675,4.45,5.2
2014,130,Romance,5.2,347,Adeeb Rais,Barun Sobti,Shenaz Treasury,Kavi Shastri,5.754529717253318,5.2,6.675,4.45,5.2
1983,148,Drama,5.2,38,Ashim S. Samanta,Sanjay Dutt,Raj Babbar,Jaya Prada,5.985004212299915,5.4071428571428575,5.17182320441989,5.439215686274509,5.308333333333334
1983,148,Family,5.2,38,Ashim S. Samanta,Sanjay Dutt,Raj Babbar,Jaya Prada,6.1843800322061195,5.4071428571428575,5.17182320441989,5.439215686274509,5.308333333333334
1989,160,Drama,7.2,699,Tinnu Anand,Amitabh Bachchan,Shabana Azmi,B.M. Shah,5.985004212299915,5.926666666666667,6.0929078014184395,6.311842105263158,7.45
